"sample_id","anem_id","old_anem_id"
"APCL16_001",NA,NA
"APCL16_002",2175,NA
"APCL16_006",2178,402
"APCL16_009",2179,810
"APCL16_011",2180,401
"APCL16_012",NA,NA
"APCL16_013",2181,1018
"APCL16_019",2161,NA
"APCL16_015",2182,NA
"APCL16_016",2183,NA
"APCL16_021",2184,807
"APCL16_023",2185,749
"APCL16_024",2186,NA
"APCL16_028",NA,NA
"APCL16_025",2187,NA
"APCL16_027",2188,NA
"APCL16_029",2189,NA
"APCL16_030",2190,1001
"APCL16_031",2191,NA
"APCL16_033",2002,NA
"APCL16_035",NA,NA
"APCL16_036",1027,NA
"APCL16_040",1033,NA
"APCL16_038",2005,NA
"APCL16_044",2003,NA
"APCL16_046",2192,NA
"APCL16_048",2193,NA
"APCL16_051",2194,NA
"APCL16_049",495,NA
"APCL16_052",2195,NA
"APCL16_057",2197,NA
"APCL16_055",2196,488
"APCL16_058",2195,NA
"APCL16_059",2198,NA
"APCL16_062",2200,NA
"APCL16_060",2199,NA
"APCL16_072",2014,NA
"APCL16_063",945,NA
"APCL16_065",2201,960
"APCL16_068",2202,NA
"APCL16_074",2001,NA
"APCL16_076",2203,720
"APCL16_079",1026,NA
"APCL16_080",2207,727
"APCL16_082",2208,969
"APCL16_083",2209,NA
"APCL16_085",729,NA
"APCL16_086",971,NA
"APCL16_088",2210,NA
"APCL16_089",2211,NA
"APCL16_091",2008,NA
"APCL16_092",2212,961
"APCL16_093",2213,NA
"APCL16_094",2214,465
"APCL16_095",2215,NA
"APCL16_096",2015,NA
"APCL16_097",2216,476
"APCL16_099",2217,NA
"APCL16_101",2218,499
"APCL16_102",2219,NA
"APCL16_103",2220,957
"APCL16_104",2222,479
"APCL16_105",2223,940
"APCL16_107",434,110
"APCL16_109",2224,NA
"APCL16_110",881,NA
"APCL16_112",2225,NA
"APCL16_113",2226,NA
"APCL16_115",2227,NA
"APCL16_117",2229,NA
"APCL16_118",2230,NA
"APCL16_120",2231,414
"APCL16_123",NA,NA
"APCL16_121",2021,NA
"APCL16_124",2233,NA
"APCL16_125",2234,918
"APCL16_126",NA,NA
"APCL16_127",2235,415
"APCL16_129",2236,908
"APCL16_130",NA,NA
"APCL16_131",NA,NA
"APCL16_132",2237,NA
"APCL16_134",2238,359
"APCL16_126",876,NA
"APCL16_137",2239,NA
"APCL16_138",2240,NA
"APCL16_139",2241,NA
"APCL16_140",2242,NA
"APCL16_144",2244,NA
"APCL16_141",2243,389
"APCL16_145",2245,NA
"APCL16_146",2246,849
"APCL16_155",2252,NA
"APCL16_150",2248,871
"APCL16_149",2247,906
"APCL16_154",2251,NA
"APCL16_152",2250,904
"APCL16_160",1282,NA
"APCL16_156",2257,NA
"APCL16_159",2253,1278
"APCL16_161",2254,NA
"APCL16_162",2255,NA
"APCL16_163",2256,NA
"APCL16_165",2258,NA
"APCL16_168",2259,NA
"APCL16_171",2260,NA
"APCL16_172",2261,NA
"APCL16_175",2262,447
"APCL16_177",2263,445
"APCL16_179",2264,NA
"APCL16_182",451,NA
"APCL16_183",2266,NA
"APCL16_184",2267,NA
"APCL16_185",2268,NA
"APCL16_190",2147,NA
"APCL16_187",2269,397
"APCL16_191",2270,NA
"APCL16_193",2271,1286
"APCL16_197",2273,NA
"APCL16_195",2272,NA
"APCL16_199",2274,NA
"APCL16_201",1351,NA
"APCL16_203",2275,NA
"APCL16_205",2276,NA
"APCL16_207",1270,NA
"APCL16_210",2278,NA
"APCL16_208",227,NA
"APCL16_212",2279,NA
"APCL16_213",2280,1310
"APCL16_214",709,NA
"APCL16_216",2282,NA
"APCL16_219",2284,1080
"APCL16_221",2285,NA
"APCL16_222",2284,NA
"APCL16_223",2286,NA
"APCL16_229",2290,NA
"APCL16_224",2287,NA
"APCL16_226",2288,NA
"APCL16_228",2289,NA
"APCL16_230",NA,NA
"APCL16_231",2291,NA
"APCL16_233",NA,NA
"APCL16_235",NA,NA
"APCL16_237",NA,NA
"APCL16_238",2292,NA
"APCL16_241",NA,NA
"APCL16_243",2293,605
"APCL16_244",2038,NA
"APCL16_246",NA,NA
"APCL16_252",NA,NA
"APCL16_253",2028,NA
"APCL16_254",2029,NA
"APCL16_257",2294,NA
"APCL16_264",2295,688
"APCL16_266",2296,696
"APCL16_268",2297,1326
"APCL16_270",2298,NA
"APCL16_272",2299,NA
"APCL16_274",2300,NA
"APCL16_276",2301,NA
"APCL16_277",2302,NA
"APCL16_278",2303,NA
"APCL16_279",2304,704
"APCL16_281",2305,NA
"APCL16_283",1304,NA
"APCL16_285",2306,701
"APCL16_290",2309,NA
"APCL16_293",2310,NA
"APCL16_294",2311,NA
"APCL16_295",2312,NA
"APCL16_297",2313,NA
"APCL16_299",2314,NA
"APCL16_300",2315,NA
"APCL16_301",2316,NA
"APCL16_303",2317,NA
"APCL16_305",NA,NA
"APCL16_306",2318,377
"APCL16_308",51,NA
"APCL16_310",NA,NA
"APCL16_311",NA,NA
"APCL16_313",NA,NA
"APCL16_315",NA,NA
"APCL16_317",2401,NA
"APCL16_323",NA,NA
"APCL16_329",2402,NA
"APCL16_333",2403,NA
"APCL16_332",2405,NA
"APCL16_334",2406,1091
"APCL16_336",2407,NA
"APCL16_338",2408,NA
"APCL16_341",2409,NA
"APCL16_343",2087,NA
"APCL16_345",2410,NA
"APCL16_347",2131,NA
"APCL16_350",2411,NA
"APCL16_351",2412,1092
"APCL16_357",NA,NA
"APCL16_363",NA,NA
"APCL16_369",NA,NA
"APCL16_371",2413,NA
"APCL16_372",2414,NA
"APCL16_373",2415,1183
"APCL16_374",2416,NA
"APCL16_375",2404,NA
"APCL16_376",1098,NA
"APCL16_378",2417,NA
"APCL16_382",2418,NA
"APCL16_385",2419,NA
"APCL16_387",NA,NA
"APCL16_388",2420,NA
"APCL16_394",2421,NA
"APCL16_400",2422,NA
"APCL16_410",2423,NA
"APCL16_416",NA,NA
"APCL16_419",2257,NA
"APCL16_420",NA,NA
"APCL16_421",2254,NA
"APCL16_424",2424,523
"APCL16_428",NA,NA
"APCL16_430",2425,512
"APCL16_432",2426,NA
"APCL16_438",2428,NA
"APCL16_442",2429,NA
"APCL16_443",2430,680
"APCL16_444",2431,1116
"APCL16_446",2432,1114
"APCL16_447",2433,938
"APCL16_452",2435,221
"APCL16_453",2434,NA
"APCL16_454",2436,NA
"APCL16_455",2437,NA
"APCL16_458",2438,NA
"APCL16_465",2444,934
"APCL16_459",2441,NA
