"fish","First.sample_id","Second.sample_id","First.Size","Second.Size","First.Date","Second.Date","first_anem_id","second_anem_id","first_old_anem_id","second_old_anem_id","First.Name","Second.Name","First.anem_table_id","First.fish_table_id","First.dive_table_id","First.ObsTime","First.id","First.lat","First.lon","Second.anem_table_id","Second.fish_table_id","Second.dive_table_id","Second.ObsTime","Second.id","Second.lat","Second.lon","growth","sample12","sample13","sample14","sample15","size12","anem12","site12","date12","size13","anem13","site13","date13","site14","date14","anem14","size14","site15","date15","anem15","size15"
1,"APCL13_313","APCL13_626",4.9,4.9,"2013-05-28","2013-06-04",181,180,NA,NA,"Wangag","Wangag",3292,4319,40,"14:45:50",40,10.87150002,124.71417236,3709,4619,58,"12:44:00",58,10.87152004,124.71416473,0,NA,"APCL13_313",NA,NA,NA,NA,NA,NA,4.9,181,"Wangag","2013-05-28",NA,NA,NA,NA,NA,NA,NA,NA
2,"APCL13_653","APCL14_244",3.6,8.1,"2013-06-04","2014-06-18",365,NA,NA,NA,"Magbangon","Magbangon",3768,4660,60,"16:27:30",60,10.86112881,124.72148132,2265,2966,105,"15:33:00",105,10.86127186,124.72146606,4.5,NA,"APCL13_653","APCL14_244",NA,NA,NA,NA,NA,3.6,365,"Magbangon","2013-06-04","Magbangon","2014-06-18",NA,8.1,NA,NA,NA,NA
3,"APCL13_089","APCL14_006",7.9,8.8,"2013-05-24","2014-06-07",51,284,NA,NA,"Visca","Visca",2883,4108,28,"16:06:30",28,10.74401379,124.78630066,1866,2614,86,"15:49:30",86,10.74289894,124.7870636,0.9,NA,"APCL13_089","APCL14_006",NA,NA,NA,NA,NA,7.9,51,"Visca","2013-05-24","Visca","2014-06-07",284,8.8,NA,NA,NA,NA
4,"APCL13_565","APCL14_049",9.6,8.8,"2013-06-03","2014-06-12",311,406,NA,NA,"Sitio Baybayon","Sitio Baybayon",3612,4561,55,"12:54:00",55,10.63360119,124.77679443,1934,2680,95,"15:44:00",95,10.63356972,124.77679443,-0.799999999999999,NA,"APCL13_565","APCL14_049",NA,NA,NA,NA,NA,9.6,311,"Sitio Baybayon","2013-06-03","Sitio Baybayon","2014-06-12",406,8.8,NA,NA,NA,NA
5,"APCL13_587","APCL14_253",9.1,9.3,"2013-06-03","2014-06-22",321,534,NA,NA,"Sitio Baybayon","Sitio Baybayon",3630,4577,56,"14:22:00",56,10.63401985,124.7766571,2276,2976,110,"09:10:00",110,10.63399982,124.77661133,0.200000000000001,NA,"APCL13_587","APCL14_253",NA,NA,NA,NA,NA,9.1,321,"Sitio Baybayon","2013-06-03","Sitio Baybayon","2014-06-22",534,9.3,NA,NA,NA,NA
6,"APCL13_027","APCL14_017",9.4,9.3,"2013-05-23","2014-06-10",14,14,NA,NA,"Poroc San Flower","Poroc San Flower",2813,4047,24,"11:00:00",24,10.76447487,124.78541565,1875,3760,88,"10:12:00",88,10.76441574,124.78531647,-0.0999999999999996,NA,"APCL13_027","APCL14_017",NA,NA,NA,NA,NA,9.4,14,"Poroc San Flower","2013-05-23","Poroc San Flower","2014-06-10",14,9.3,NA,NA,NA,NA
7,"APCL13_572","APCL14_060",3,8.5,"2013-06-03","2014-06-12",315,411,NA,NA,"Sitio Baybayon","Sitio Baybayon",3618,4566,55,"13:16:00",55,10.63368797,124.77679443,1948,2693,95,"16:49:00",95,10.63393497,124.77667999,5.5,NA,"APCL13_572","APCL14_060",NA,NA,NA,NA,NA,3,315,"Sitio Baybayon","2013-06-03","Sitio Baybayon","2014-06-12",411,8.5,NA,NA,NA,NA
8,"APCL13_485","APCL14_095",2.7,7.5,"2013-05-31","2014-06-13",276,430,NA,279,"Palanas","Palanas",3549,4944,49,"13:22:00",49,10.87311363,124.71195984,1995,2736,98,"14:52:00",98,10.8730669,124.71209717,4.8,NA,"APCL13_485","APCL14_095",NA,NA,NA,NA,NA,2.7,276,"Palanas","2013-05-31","Palanas","2014-06-13",430,7.5,NA,NA,NA,NA
9,"APCL13_601","APCL14_268",5.3,8.3,"2013-06-03","2014-06-22",326,543,NA,NA,"Sitio Baybayon","Sitio Baybayon",3641,4997,57,"15:28:00",57,10.6341114,124.77667999,2292,3600,110,"10:09:00",110,10.63437366,124.77676392,3,NA,"APCL13_601","APCL14_268",NA,NA,NA,NA,NA,5.3,326,"Sitio Baybayon","2013-06-03","Sitio Baybayon","2014-06-22",543,8.3,NA,NA,NA,NA
10,"APCL13_120","APCL13_131",11.1,10.7,"2013-05-25","2013-05-25",NA,72,NA,NA,"Elementary School","Elementary School",2907,4739,30,"12:55:15",30,10.79913616,124.76850128,2923,4141,31,"16:15:30",31,10.79891205,124.76868439,-0.4,NA,"APCL13_120",NA,NA,NA,NA,NA,NA,11.1,NA,"Elementary School","2013-05-25",NA,NA,NA,NA,NA,NA,NA,NA
11,"APCL14_036","APCL13_145",11.1,9.6,"2014-06-12","2013-05-26",395,80,76,NA,"Tamakin Dacot","Tamakin Dacot",1916,3917,94,"11:34:00",94,10.65214634,124.78382111,2948,4763,32,"10:45:30",32,10.65284348,124.78369904,1.5,NA,"APCL13_145","APCL14_036",NA,NA,NA,NA,NA,9.6,80,"Tamakin Dacot","2013-05-26","Tamakin Dacot","2014-06-12",395,11.1,NA,NA,NA,NA
12,"APCL14_289","APCL13_557",9.5,8,"2014-06-22","2013-06-03",557,307,NA,NA,"Sitio Baybayon","Sitio Baybayon",2311,3612,111,"13:30:00",111,10.6344986,124.77636719,3605,4975,55,"12:33:02",55,10.63339806,124.77693939,1.5,NA,"APCL13_557","APCL14_289",NA,NA,NA,NA,NA,8,307,"Sitio Baybayon","2013-06-03","Sitio Baybayon","2014-06-22",557,9.5,NA,NA,NA,NA
13,"APCL13_615","APCL14_390",5.3,9.1,"2013-06-04","2014-06-23",339,606,NA,NA,"Wangag","Wangag",3675,4606,58,"11:44:30",58,10.87079906,124.71453857,2473,3098,113,"15:16:00",113,10.87137794,124.71421051,3.8,NA,"APCL13_615","APCL14_390",NA,NA,NA,NA,NA,5.3,339,"Wangag","2013-06-04","Wangag","2014-06-23",606,9.1,NA,NA,NA,NA
14,"APCL14_140","APCL13_181",7.8,4.2,"2014-06-16","2013-05-26",457,100,NA,NA,"Sitio Baybayon","Sitio Baybayon",2076,2810,101,"15:56:00",101,10.63351631,124.77690887,2983,4778,34,"15:47:00",34,10.63342381,124.77700806,3.6,NA,"APCL13_181","APCL14_140",NA,NA,NA,NA,NA,4.2,100,"Sitio Baybayon","2013-05-26","Sitio Baybayon","2014-06-16",457,7.8,NA,NA,NA,NA
15,"APCL13_150","APCL14_126",3.2,8.1,"2013-05-26","2014-06-16",85,450,NA,NA,"Haina","Haina",2955,4172,33,"12:04:15",33,10.64080429,124.78508759,2049,2788,99,"11:54:00",99,NA,NA,4.9,NA,"APCL13_150","APCL14_126",NA,NA,NA,NA,NA,3.2,85,"Haina","2013-05-26","Haina","2014-06-16",450,8.1,NA,NA,NA,NA
16,"APCL13_147","APCL14_032",11,9.6,"2013-05-26","2014-06-12",82,394,NA,NA,"Tamakin Dacot","Tamakin Dacot",2951,4168,32,"11:03:30",32,10.65242672,124.78354645,1913,2659,94,"11:14:00",94,10.65239716,124.78372192,-1.4,NA,"APCL13_147","APCL14_032",NA,NA,NA,NA,NA,11,82,"Tamakin Dacot","2013-05-26","Tamakin Dacot","2014-06-12",394,9.6,NA,NA,NA,NA
17,"APCL13_584","APCL14_153",8.2,8.4,"2013-06-03","2014-06-16",320,468,NA,NA,"Sitio Baybayon","Sitio Baybayon",3628,4575,56,"14:11:30",56,10.63399601,124.77671814,2106,2833,101,"17:10:00",101,10.63294792,124.77696228,0.200000000000001,NA,"APCL13_584","APCL14_153",NA,NA,NA,NA,NA,8.2,320,"Sitio Baybayon","2013-06-03","Sitio Baybayon","2014-06-16",468,8.4,NA,NA,NA,NA
18,"APCL13_278","APCL12_105",9.7,9.6,"2013-05-28","2012-05-09",158,NA,NA,NA,"Wangag","Wangag",3105,4283,39,"11:33:30",39,10.87183952,124.71380615,4042,5303,10,"14:33:00",10,10.87185574,124.71382141,0.0999999999999996,"APCL12_105","APCL13_278",NA,NA,9.6,NA,"Wangag","2012-05-09",9.7,158,"Wangag","2013-05-28",NA,NA,NA,NA,NA,NA,NA,NA
19,"APCL13_484","APCL12_098",10.5,10.3,"2013-05-31","2012-05-09",276,NA,NA,NA,"Palanas","Palanas",3549,4503,49,"13:22:00",49,10.87311363,124.71195984,4000,5603,9,"13:01:00",9,10.87332439,124.71218872,0.199999999999999,"APCL12_098","APCL13_484",NA,NA,10.3,NA,"Palanas","2012-05-09",10.5,276,"Palanas","2013-05-31",NA,NA,NA,NA,NA,NA,NA,NA
20,"APCL13_355","APCL12_167",9.3,5.6,"2013-05-29","2012-05-10",207,NA,NA,NA,"Magbangon","Magbangon",3359,4875,42,"11:49:00",42,10.85840416,124.72447205,4155,5369,13,"14:06:00",13,10.85841942,124.72434998,3.7,"APCL12_167","APCL13_355",NA,NA,5.6,NA,"Magbangon","2012-05-10",9.3,207,"Magbangon","2013-05-29",NA,NA,NA,NA,NA,NA,NA,NA
21,"APCL14_003","APCL13_510",9.9,10.4,"2014-06-07","2013-06-01",375,287,NA,NA,"Visca","Visca",1862,3756,86,"15:01:00",86,10.74388599,124.78634644,3578,4529,51,"17:18:00",51,10.74427032,124.78650665,0.5,NA,"APCL13_510","APCL14_003",NA,NA,NA,NA,NA,10.4,287,"Visca","2013-06-01","Visca","2014-06-07",375,9.9,NA,NA,NA,NA
22,"APCL13_462","APCL12_077",9.7,8,"2013-05-31","2012-05-09",NA,NA,NA,NA,"Palanas","Palanas",3519,4932,48,"10:44:50",48,10.87378311,124.71086121,3936,5244,8,"10:02:00",8,10.87396812,124.71099091,1.7,"APCL12_077","APCL13_462",NA,NA,8,NA,"Palanas","2012-05-09",9.7,NA,"Palanas","2013-05-31",NA,NA,NA,NA,NA,NA,NA,NA
