"anem_table_id","sample_id","size","anem_id","old_anem_id"
10,"APCL16_001",6.8,NA,NA
15,"APCL16_002",9.5,2175,NA
25,"APCL16_006",7.7,2178,402
26,"APCL16_009",9.2,2179,810
27,"APCL16_011",6,2180,401
29,"APCL16_012",8.3,NA,NA
35,"APCL16_013",7.8,2181,1018
40,"APCL16_019",6.5,2161,NA
42,"APCL16_015",7.4,2182,NA
48,"APCL16_016",6.8,2183,NA
51,"APCL16_021",10,2184,807
54,"APCL16_023",7.9,2185,749
58,"APCL16_024",9.5,2186,NA
62,"APCL16_028",7.1,NA,NA
63,"APCL16_025",8.5,2187,NA
64,"APCL16_027",8.5,2188,NA
65,"APCL16_029",7.1,2189,NA
67,"APCL16_030",7.6,2190,1001
73,"APCL16_031",5.3,2191,NA
76,"APCL16_033",9.5,2002,NA
78,"APCL16_035",10.7,NA,NA
88,"APCL16_036",9.7,1027,NA
91,"APCL16_040",10.1,1033,NA
92,"APCL16_038",10.2,2005,NA
95,"APCL16_044",10.7,2003,NA
96,"APCL16_046",3.5,2192,NA
99,"APCL16_048",5.9,2193,NA
100,"APCL16_051",5.1,2194,NA
101,"APCL16_049",9.2,495,NA
102,"APCL16_052",10.3,2195,NA
103,"APCL16_057",6.1,2197,NA
104,"APCL16_055",10.7,2196,488
113,"APCL16_058",5.7,2195,NA
114,"APCL16_059",7.5,2198,NA
119,"APCL16_062",7.5,2200,NA
120,"APCL16_060",5.1,2199,NA
122,"APCL16_072",10.2,2014,NA
123,"APCL16_063",4.5,945,NA
126,"APCL16_065",11,2201,960
128,"APCL16_068",10.5,2202,NA
129,"APCL16_074",7.1,2001,NA
136,"APCL16_076",9.6,2203,720
141,"APCL16_079",9.7,1026,NA
142,"APCL16_080",8,2207,727
143,"APCL16_082",4.2,2208,969
144,"APCL16_083",6.3,2209,NA
145,"APCL16_085",8.3,729,NA
148,"APCL16_086",6.5,971,NA
151,"APCL16_088",6.5,2210,NA
158,"APCL16_089",9.8,2211,NA
161,"APCL16_091",7.3,2008,NA
163,"APCL16_092",5.1,2212,961
165,"APCL16_093",4.1,2213,NA
168,"APCL16_094",10.6,2214,465
174,"APCL16_095",6.9,2215,NA
178,"APCL16_096",9.5,2015,NA
182,"APCL16_097",8.6,2216,476
189,"APCL16_099",8.6,2217,NA
190,"APCL16_101",8.1,2218,499
193,"APCL16_102",5,2219,NA
196,"APCL16_103",7.5,2220,957
197,"APCL16_104",8.8,2222,479
199,"APCL16_105",5.4,2223,940
201,"APCL16_107",10.1,434,110
202,"APCL16_109",5,2224,NA
204,"APCL16_110",9.5,881,NA
213,"APCL16_112",6,2225,NA
215,"APCL16_113",8.7,2226,NA
218,"APCL16_115",5.7,2227,NA
219,"APCL16_117",4.3,2229,NA
225,"APCL16_118",7.3,2230,NA
228,"APCL16_120",4.3,2231,414
229,"APCL16_123",5.5,NA,NA
230,"APCL16_121",9.2,2021,NA
235,"APCL16_124",3.6,2233,NA
236,"APCL16_125",11.1,2234,918
240,"APCL16_126",10.3,NA,NA
242,"APCL16_127",9.3,2235,415
249,"APCL16_129",10.7,2236,908
250,"APCL16_130",10.9,NA,NA
251,"APCL16_131",10.6,NA,NA
256,"APCL16_132",6.4,2237,NA
257,"APCL16_134",8.4,2238,359
259,"APCL16_126",9.7,876,NA
261,"APCL16_137",7.6,2239,NA
266,"APCL16_138",6.2,2240,NA
270,"APCL16_139",5.4,2241,NA
271,"APCL16_140",7,2242,NA
273,"APCL16_144",5.8,2244,NA
277,"APCL16_141",6.3,2243,389
278,"APCL16_145",6.6,2245,NA
279,"APCL16_146",8.1,2246,849
281,"APCL16_155",5.7,2252,NA
282,"APCL16_150",7.3,2248,871
283,"APCL16_149",3.9,2247,906
284,"APCL16_154",4.6,2251,NA
286,"APCL16_152",10,2250,904
301,"APCL16_160",7.9,1282,NA
302,"APCL16_156",6.5,2257,NA
303,"APCL16_159",8.6,2253,1278
311,"APCL16_161",8.9,2254,NA
312,"APCL16_162",7.7,2255,NA
313,"APCL16_163",8,2256,NA
317,"APCL16_165",8.3,2258,NA
322,"APCL16_168",8.3,2259,NA
326,"APCL16_171",7,2260,NA
330,"APCL16_172",6.1,2261,NA
333,"APCL16_175",8.2,2262,447
334,"APCL16_177",9.1,2263,445
338,"APCL16_179",7,2264,NA
343,"APCL16_182",10.6,451,NA
348,"APCL16_183",7.7,2266,NA
349,"APCL16_184",8.3,2267,NA
350,"APCL16_185",9.6,2268,NA
352,"APCL16_190",11.6,2147,NA
353,"APCL16_187",11.3,2269,397
355,"APCL16_191",10.6,2270,NA
357,"APCL16_193",7,2271,1286
