Missing data from input file 2016-11-14_13_geno.gen.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [L0255]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4             0000            17
       2           18             0000             1
       3            5             0000             9
       4           88             0000             1
       7          120             0000             4
       9          120             0000             6
      11            4             0000            18
      12          125             0000             3
      13          120             0000             1
      14          120             0000             2
      15           88             0000             8
      16          242             0000             1
      19          140             0000             1
      22            4             0000             3
      32          111             0000            11
      33            2             0000             4
      34          170             0000             2
      35            4             0000            64
      36          198             0000             8
      37          120             0000             5
      38          220             0000             8
      39           84             0000             9
      40          120             0000             1
      42          497             0000             1
      43            1             0000           231
      44           51             0000             4
      45          393             0000             3
      46          706             0000             2
      48          692             0000             1
      49          217             0000             2
      51          120             0000             3
      52          120             0000             1
      53          120             0000             7
      54          210             0000             3
      55          196             0000             4
      56          706             0000             2
      57           58             0000            11
      59           90             0000             1
      60          705             0000             1
      61            6             0000             6
      62           91             0000             4
      63           34             0000            27
      64          196             0000             2
      65           34             0000            39
      69           88             0000             3
      70          335             0000             4
      75          335             0000             1
      78           68             0000             4
      79          335             0000             1
      80          583             0000             1
      84          151             0000             4
      85          120             0000             1
      87           92             0000             2
      88           76             0000             7
      89           88             0000             2
      90          194             0000             3
      92          311             0000             1
      93          393             0000             1
      94          335             0000             3
      96          447             0000             3
      97          196             0000             1
      98          311             0000             1
      99           97             0000             4
     101           88             0000             2
     102           88             0000             1
     106          338             0000             1
     107          393             0000             1
     109            8             0000            18
     112           18             0000             3
     113           88             0000             4
     114          120             0000             5
     116           23             0000            11
     119           88             0000             1
     120          515             0000             2
     121          120             0000             1
     122          196             0000             3
     124           29             0000            47
     125           67             0000            82
     126            7             0000            70
     127            4             0000           111
     128           34             0000            77
     129           99             0000            41
     130           99             0000            19
     131          112             0000            22
     132          126             0000            14
     133          688             0000             1
     134            8             0000            15
     135          250             0000             9
     136           92             0000            11
     137          196             0000             2
     138          544             0000             1
