"First.ID","Loci.typed","Second.ID","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","First.digest_id","First.extraction_id","First.sample_id","Second.digest_id","Second.extraction_id","Second.sample_id","mismatch_prop","First.anem_table_id","First.fish_table_id","First.Size","First.dive_table_id","First.ObsTime","First.id","First.date","First.name","Second.anem_table_id","Second.fish_table_id","Second.Size","Second.dive_table_id","Second.ObsTime","Second.id","Second.date","Second.name","First.lat","First.lon","Second.lat","Second.lon","date_eval","distkm","disteval","size_eval"
"L2554",1033,"L2238",1021,957,64,0,0,"Fuzzy match","D2269","E1694","APCL12_029","D1934","E0633","APCL13_510",0.0626836434867777,3883,5716,10.4,4,"15:22:00",4,"2012-05-06","Visca",3578,4529,10.4,51,"17:18:00",51,"2013-06-01","Visca",10.74403858,124.78627014,10.74427032,124.78650665,NA,0.0364911082670225,NA,NA
"L2420",1038,"L2421",1001,947,54,0,0,"Fuzzy match","D2540","E1745","APCL12_080","D2540","E1745","APCL12_080",0.0539460539460539,3945,5252,4.7,8,"10:23:00",8,"2012-05-09","Palanas",3945,5252,4.7,8,"10:23:00",8,"2012-05-09","Palanas",10.87371159,124.71141815,10.87371159,124.71141815,"FAIL",0,NA,NA
"L2385",1036,"L3116",1021,965,56,0,0,"Fuzzy match","D2617","E1867","APCL12_203","D3288","E1866","APCL12_202",0.0548481880509305,4200,5403,5.2,15,"11:54:00",15,"2012-05-11","Poroc San Flower",4199,5402,4.5,15,"11:47:00",15,"2012-05-11","Poroc San Flower",NA,NA,NA,NA,"FAIL",NA,NA,NA
"L0485",999,"L0893",1038,935,64,0,0,"Fuzzy match","D0842","E0152","APCL13_027","D0982","E0802","APCL14_017",0.0640640640640641,2813,4047,9.4,24,"11:00:00",24,"2013-05-23","Poroc San Flower",1875,3760,9.3,88,"10:12:00",88,"2014-06-10","Poroc San Flower",10.76447487,124.78541565,10.76441574,124.78531647,NA,0.0126734178170279,NA,NA
"L0424",1037,"L0722",1036,988,47,0,0,"Fuzzy match","D0427","E0214","APCL13_089","D1039","E0791","APCL14_006",0.0454106280193237,2883,4108,7.9,28,"16:06:30",28,"2013-05-24","Visca",1866,2614,8.8,86,"15:49:30",86,"2014-06-07","Visca",10.74401379,124.78630066,10.74289894,124.7870636,NA,0.149380020137445,NA,NA
"L0425",1038,"L0427",1038,1038,0,0,3.88774757072713e-204,"Exact match","D0428","E0215","APCL13_090","D0439","E0226","APCL13_101",0,2883,4724,10.3,28,"16:06:30",28,"2013-05-24","Visca",2892,4116,6.1,29,"09:27:30",29,"2013-05-25","Sitio Tugas",10.74401379,124.78630066,10.80914021,124.76543427,NA,7.59196286274381,"FAIL","FAIL"
"L1084",1030,"L1092",1036,971,59,0,0,"Fuzzy match","D0458","E0245","APCL13_120","D0469","E0256","APCL13_131",0.0572815533980583,2907,4739,11.1,30,"12:55:15",30,"2013-05-25","Elementary School",2923,4141,10.7,31,"16:15:30",31,"2013-05-25","Elementary School",10.79913616,124.76850128,10.79891205,124.76868439,"FAIL",0.0319533089942015,NA,NA
"L0432",1035,"L1720",1034,959,73,0,0,"Fuzzy match","D0468","E0255","APCL13_130","D1787","E0255","APCL13_130",0.0707364341085271,2920,4139,6.8,31,"15:16:00",31,"2013-05-25","Elementary School",2920,4139,6.8,31,"15:16:00",31,"2013-05-25","Elementary School",10.79846382,124.76870728,10.79846382,124.76870728,"FAIL",0,NA,NA
"L1098",1038,"L0723",1035,964,71,0,0,"Fuzzy match","D0483","E0270","APCL13_145","D1040","E0819","APCL14_036",0.0685990338164251,2948,4763,9.6,32,"10:45:30",32,"2013-05-26","Tamakin Dacot",1916,3917,11.1,94,"11:34:00",94,"2014-06-12","Tamakin Dacot",10.65284348,124.78369904,10.65214634,124.78382111,NA,0.0786578331935258,NA,NA
"L1101",1038,"L1701",1035,1005,30,0,0,"Fuzzy match","D0488","E0275","APCL13_150","D1013","E0895","APCL14_126",0.0289855072463768,2955,4172,3.2,33,"12:04:15",33,"2013-05-26","Haina",2049,2788,8.1,99,"11:54:00",99,"2014-06-16","Haina, Punta",10.64080429,124.78508759,NA,NA,NA,NA,NA,NA
"L0444",1038,"L1024",762,702,60,0,0,"Fuzzy match","D0543","E0330","APCL13_207","D0543","E0330","APCL13_207",0.078740157480315,3004,4214,8.7,35,"10:57:30",35,"2013-05-27","Palanas",3004,4214,8.7,35,"10:57:30",35,"2013-05-27","Palanas",10.87335396,124.71208191,10.87335396,124.71208191,"FAIL",0,NA,NA
"L0299",887,"L1283",1033,805,80,0,0,"Fuzzy match","D0602","E0389","APCL13_266","D1094","E1294","APCL14_433",0.0903954802259887,3063,4262,3.2,38,"09:55:40",38,"2013-05-28","Wangag",2562,3178,7.6,115,"13:21:00",115,"2014-06-24","Wangag",10.86884212,124.71646118,10.87181091,124.71381378,NA,0.438807009173156,"FAIL",NA
"L0357",1036,"L0358",832,763,68,0,0,"Fuzzy match","D0669","E0456","APCL13_333","D0670","E0457","APCL13_334",0.0818291215403129,3345,4353,6.9,41,"09:49:30",41,"2013-05-29","Cabatuan",3346,4354,8.9,41,"09:52:30",41,"2013-05-29","Cabatuan",10.85534096,124.72686768,10.85540104,124.72689056,"FAIL",0.00713279415554705,NA,NA
"L0370",1036,"L0742",1036,981,55,0,0,"Fuzzy match","D0687","E0474","APCL13_351","D1096","E1478","APCL14_445",0.0530888030888031,3360,4876,3.6,42,"11:52:00",42,"2013-05-29","Magbangon",2579,3194,4.2,115,"14:37:00",115,"2014-06-24","Wangag",10.85841274,124.72444153,10.87144566,124.71401978,NA,1.84265409647383,"FAIL",NA
"L0377",1036,"L0974",1025,945,78,0,0,"Fuzzy match","D0698","E0485","APCL13_362","D1223","E1394","APCL14_555",0.0762463343108504,3374,4378,3.8,42,"13:09:40",42,"2013-05-29","Magbangon",2775,3752,3.6,130,"12:59:00",130,"2014-07-02","Magbangon",10.86077499,124.72209167,10.87424755,124.71091461,NA,1.93234836294572,"FAIL",NA
"L0846",1037,"L1238",1038,981,56,0,0,"Fuzzy match","D0783","E0570","APCL13_447","D1098","E1480","APCL14_447",0.0540019286403086,3506,4927,5.1,47,"09:19:30",47,"2013-05-31","Palanas",2581,3196,5.3,115,"14:45:00",115,"2014-06-24","Wangag",10.87384892,124.71058655,10.87144661,124.71394348,NA,0.453576105945781,"FAIL",NA
"L2490",966,"L2909",1035,898,68,0,0,"Fuzzy match","D0789","E0576","APCL13_453","D3047","E2785","APCL15_375598",0.0703933747412008,3511,4929,2.4,47,"09:37:00",47,"2013-05-31","Palanas",1374,1654,9.1,152,"14:31:00",152,"2015-05-29","Palanas",10.87373924,124.71079254,10.87438774,124.71073151,NA,0.072417215296662,NA,NA
"L0466",764,"L1677",1037,685,79,0,0,"Fuzzy match","D0797","E0584","APCL13_461","D0797","E0584","APCL13_461",0.103403141361257,3519,4479,10.4,48,"10:44:50",48,"2013-05-31","Palanas",3519,4479,10.4,48,"10:44:50",48,"2013-05-31","Palanas",10.87378311,124.71086121,10.87378311,124.71086121,"FAIL",0,NA,NA
"L0658",1036,"L0923",1038,987,49,0,0,"Fuzzy match","D0821","E0608","APCL13_485","D1052","E0871","APCL14_095",0.0472972972972973,3549,4944,2.7,49,"13:22:00",49,"2013-05-31","Palanas",1995,2736,7.5,98,"14:52:00",98,"2014-06-13","Palanas",10.87311363,124.71195984,10.8730669,124.71209717,NA,0.0158709559080593,NA,NA
"L0670",1036,"L0726",1036,997,37,0,0,"Fuzzy match","D0897","E0684","APCL13_565","D1045","E0832","APCL14_049",0.0357833655705996,3612,4561,9.6,55,"12:54:00",55,"2013-06-03","Sitio Baybayon",1934,2680,8.8,95,"15:44:00",95,"2014-06-12","Sitio Baybayon",10.63360119,124.77679443,10.63356972,124.77679443,NA,0.00350104080065571,NA,NA
"L1735",1029,"L1740",1031,974,48,0,0,"Fuzzy match","D1792","E0684","APCL13_565","D1801","E0832","APCL14_049",0.0469667318982387,3612,4561,9.6,55,"12:54:00",55,"2013-06-03","Sitio Baybayon",1934,2680,8.8,95,"15:44:00",95,"2014-06-12","Sitio Baybayon",10.63360119,124.77679443,10.63356972,124.77679443,NA,0.00350104080065571,NA,NA
"L0874",1011,"L0921",1038,954,57,0,0,"Fuzzy match","D0904","E0691","APCL13_572","D1049","E0842","APCL14_060",0.056379821958457,3618,4566,3,55,"13:16:00",55,"2013-06-03","Sitio Baybayon",1948,2693,8.5,95,"16:49:00",95,"2014-06-12","Sitio Baybayon",10.63368797,124.77679443,10.63393497,124.77667999,NA,0.0301786754472852,NA,NA
"L0677",1037,"L0730",1038,967,70,0,0,"Fuzzy match","D0915","E0702","APCL13_584","D1061","E0920","APCL14_153",0.0675024108003857,3628,4575,8.2,56,"14:11:30",56,"2013-06-03","Sitio Baybayon",2106,2833,8.4,101,"17:10:00",101,"2014-06-16","Sitio Baybayon",10.63399601,124.77671814,10.63294792,124.77696228,NA,0.119557392335749,NA,NA
"L1736",1033,"L1741",1038,957,76,0,0,"Fuzzy match","D1793","E0702","APCL13_584","D1802","E0920","APCL14_153",0.0735721200387222,3628,4575,8.2,56,"14:11:30",56,"2013-06-03","Sitio Baybayon",2106,2833,8.4,101,"17:10:00",101,"2014-06-16","Sitio Baybayon",10.63399601,124.77671814,10.63294792,124.77696228,NA,0.119557392335749,NA,NA
"L0678",1038,"L0737",1033,954,79,0,0,"Fuzzy match","D0918","E0705","APCL13_587","D1081","E1019","APCL14_253",0.0764762826718296,3630,4577,9.1,56,"14:22:00",56,"2013-06-03","Sitio Baybayon",2276,2976,9.3,110,"09:10:00",110,"2014-06-22","Sitio Baybayon",10.63401985,124.7766571,10.63399982,124.77661133,NA,0.00547588247054744,NA,NA
"L0678",1038,"L1705",969,891,78,0,0,"Fuzzy match","D0918","E0705","APCL13_587","D1112","E1350","APCL14_511",0.0804953560371517,3630,4577,9.1,56,"14:22:00",56,"2013-06-03","Sitio Baybayon",2702,3719,7,124,"11:52:00",124,"2014-06-29","San Agustin",10.63401985,124.7766571,10.76727009,124.7848053,NA,14.843473443209,"FAIL","FAIL"
"L1737",1025,"L1742",1023,944,67,0,0,"Fuzzy match","D1794","E0705","APCL13_587","D1803","E1019","APCL14_253",0.066271018793274,3630,4577,9.1,56,"14:22:00",56,"2013-06-03","Sitio Baybayon",2276,2976,9.3,110,"09:10:00",110,"2014-06-22","Sitio Baybayon",10.63401985,124.7766571,10.63399982,124.77661133,NA,0.00547588247054744,NA,NA
"L0683",1036,"L1013",1037,990,45,0,0,"Fuzzy match","D0932","E0719","APCL13_601","D1405","E1034","APCL14_268",0.0434782608695652,3641,4997,5.3,57,"15:28:00",57,"2013-06-03","Sitio Baybayon",2292,3600,8.3,110,"10:09:00",110,"2014-06-22","Sitio Baybayon",10.6341114,124.77667999,10.63437366,124.77676392,NA,0.0305706400601294,NA,NA
"L2529",1038,"L3165",1037,973,64,0,0,"Fuzzy match","D1946","E0727","APCL13_609","D3260","E1385","APCL14_546",0.0617164898746384,3661,4596,4.2,58,"11:11:30",58,"2013-06-04","Wangag",2765,3746,8.1,130,"12:25:00",130,"2014-07-02","Magbangon",10.87010574,124.71531677,10.87440968,124.71067047,NA,0.697467479998818,"FAIL",NA
"L0884",1038,"L1282",1038,971,67,0,0,"Fuzzy match","D0944","E0733","APCL13_615","D1088","E1251","APCL14_390",0.0645472061657033,3675,4606,5.3,58,"11:44:30",58,"2013-06-04","Wangag",2473,3098,9.1,113,"15:16:00",113,"2014-06-23","Wangag",10.87079906,124.71453857,10.87137794,124.71421051,NA,0.0736658150874294,NA,NA
"L0979",1038,"L0980",1038,1004,34,0,0,"Fuzzy match","D1234","E0769","APCL13_651","D1234","E0769","APCL13_651",0.0327552986512524,3758,4656,7.7,60,"16:19:30",60,"2013-06-04","Magbangon",3758,4656,7.7,60,"16:19:30",60,"2013-06-04","Magbangon",10.86076832,124.72113037,10.86076832,124.72113037,"FAIL",0,NA,NA
"L0979",1038,"L1725",1035,985,50,0,0,"Fuzzy match","D1234","E0769","APCL13_651","D1796","E0769","APCL13_651",0.0483091787439614,3758,4656,7.7,60,"16:19:30",60,"2013-06-04","Magbangon",3758,4656,7.7,60,"16:19:30",60,"2013-06-04","Magbangon",10.86076832,124.72113037,10.86076832,124.72113037,"FAIL",0,NA,NA
"L0980",1038,"L1725",1035,975,60,0,0,"Fuzzy match","D1234","E0769","APCL13_651","D1796","E0769","APCL13_651",0.0579710144927536,3758,4656,7.7,60,"16:19:30",60,"2013-06-04","Magbangon",3758,4656,7.7,60,"16:19:30",60,"2013-06-04","Magbangon",10.86076832,124.72113037,10.86076832,124.72113037,"FAIL",0,NA,NA
"L0696",1038,"L0712",1037,990,47,0,0,"Fuzzy match","D0969","E0771","APCL13_653","D1080","E1010","APCL14_244",0.0453230472516876,3768,4660,3.6,60,"16:27:30",60,"2013-06-04","Magbangon",2265,2966,8.1,105,"15:33:00",105,"2014-06-18","Magbangon",10.86112881,124.72148132,10.86127186,124.72146606,NA,0.0159937099486868,NA,NA
"L0697",1036,"L0922",1037,990,46,0,0,"Fuzzy match","D0970","E0772","APCL13_654","D1051","E0867","APCL14_088",0.0444015444015444,3768,5017,3.1,60,"16:27:30",60,"2013-06-04","Magbangon",1985,2726,8.9,96,"11:33:00",96,"2014-06-13","Palanas",10.86112881,124.72148132,10.87285805,124.71187592,NA,1.67369385868366,"FAIL",NA
"L0722",1036,"L1738",1022,950,72,0,0,"Fuzzy match","D1039","E0791","APCL14_006","D1799","E0791","APCL14_006",0.0704500978473581,1866,2614,8.8,86,"15:49:30",86,"2014-06-07","Visca",1866,2614,8.8,86,"15:49:30",86,"2014-06-07","Visca",10.74289894,124.7870636,10.74289894,124.7870636,"FAIL",9.49352979660034e-05,NA,NA
"L0722",1036,"L3169",1036,956,80,0,0,"Fuzzy match","D1039","E0791","APCL14_006","D3293","E2521","APCL15_372039",0.0772200772200772,1866,2614,8.8,86,"15:49:30",86,"2014-06-07","Visca",1678,2274,8.5,168,"14:20:00",168,"2015-06-07","San Agustin",10.74289894,124.7870636,10.7688818,124.78366089,NA,2.91297641347547,"FAIL",NA
"L0947",1018,"L1739",1019,930,70,0,0,"Fuzzy match","D1137","E0815","APCL14_032","D1800","E0815","APCL14_032",0.07,1913,2659,9.6,94,"11:14:00",94,"2014-06-12","Tamakin Dacot",1913,2659,9.6,94,"11:14:00",94,"2014-06-12","Tamakin Dacot",10.65239716,124.78372192,10.65239716,124.78372192,"FAIL",0,NA,NA
"L1290",1037,"L2631",1038,960,77,0,0,"Fuzzy match","D1245","E0817","APCL14_034","D2771","E2413","APCL15_127",0.0742526518804243,1916,3389,7.2,94,"11:34:00",94,"2014-06-12","Tamakin Dacot",1737,2317,10.6,173,"12:09:00",173,"2015-06-11","Tamakin Dacot",10.65214634,124.78382111,10.65205574,124.78383636,NA,0.0102107315376125,NA,NA
"L2506",1038,"L2587",1038,996,42,0,0,"Fuzzy match","D1143","E0834","APCL14_051","D2715","E2357","APCL15_403045",0.0404624277456647,1937,2682,4.2,95,"15:56:00",95,"2014-06-12","Sitio Baybayon",1778,2036,9.7,176,"11:55:00",176,"2015-06-13","Sitio Baybayon",10.63356781,124.77675629,10.63345242,124.77677155,NA,0.0129387442631843,NA,NA
"L2441",1034,"L2955",1007,950,57,0,0,"Fuzzy match","D1887","E1018","APCL14_252","D3199","E2920","APCL15_372245",0.0566037735849057,2275,3589,7,110,"09:02:00",110,"2014-06-22","Sitio Baybayon",1806,2063,9.2,178,"09:52:00",178,"2015-06-14","Sitio Baybayon",10.63396645,124.7766037,10.63406181,124.77655792,NA,0.0117247975603342,NA,NA
"L1728",1036,"L0806",1029,967,60,0,0,"Fuzzy match","D1804","E1072","APCL14_307","D1357","E1072","APCL14_307",0.0584225900681597,2328,3026,4.8,111,"14:40:00",111,"2014-06-22","Sitio Baybayon",2328,3026,4.8,111,"14:40:00",111,"2014-06-22","Sitio Baybayon",10.63503456,124.77622223,10.63503456,124.77622223,"FAIL",0,NA,NA
"L0597",966,"L1748",1023,883,79,0,0,"Fuzzy match","D1389","E1073","APCL14_308","D1813","E1073","APCL14_308",0.0821205821205821,2329,3027,6.3,111,"14:44:00",111,"2014-06-22","Sitio Baybayon",2329,3027,6.3,111,"14:44:00",111,"2014-06-22","Sitio Baybayon",10.63504124,124.7762146,10.63504124,124.7762146,"FAIL",0.000134258785931453,NA,NA
"L1748",1023,"L1300",1038,956,67,0,0,"Fuzzy match","D1813","E1073","APCL14_308","D1358","E1073","APCL14_308",0.0654936461388074,2329,3027,6.3,111,"14:44:00",111,"2014-06-22","Sitio Baybayon",2329,3027,6.3,111,"14:44:00",111,"2014-06-22","Sitio Baybayon",10.63504124,124.7762146,10.63504124,124.7762146,"FAIL",0.000134258785931453,NA,NA
"L2445",1038,"L2786",1038,988,50,0,0,"Fuzzy match","D2202","E1094","APCL14_329","D3048","E2786","APCL15_404313",0.0481695568400771,2520,3139,4.4,114,"09:22:00",114,"2014-06-24","Wangag",1475,1742,9.2,157,"14:56:00",157,"2015-05-31","Wangag",10.87151146,124.71418762,10.8714962,124.71412659,NA,0.00687740549028829,NA,NA
"L2399",1034,"L3070",998,926,68,0,0,"Fuzzy match","D2203","E1097","APCL14_332","D3082","E2820","APCL15_404653",0.06841046277666,2526,3671,3.6,114,"09:38:00",114,"2014-06-24","Wangag",1443,1715,9.3,156,"11:11:00",156,"2015-05-31","Wangag",10.87146568,124.71404266,10.87141991,124.71398926,NA,0.00773941057032782,NA,NA
"L2250",944,"L3154",1038,869,75,0,0,"Fuzzy match","D2224","E1245","APCL14_384","D3258","E1245","APCL14_384",0.0794491525423729,2407,3089,8,113,"14:30:00",113,"2014-06-23","Wangag",2407,3089,8,113,"14:30:00",113,"2014-06-23","Wangag",10.87054062,124.71481323,10.87054062,124.71481323,"FAIL",9.49352979660034e-05,NA,NA
"L2452",1038,"L2777",1038,996,42,0,0,"Fuzzy match","D2229","E1250","APCL14_389","D3002","E2740","APCL15_406164",0.0404624277456647,2470,3096,3.7,113,"15:09:00",113,"2014-06-23","Wangag",1457,1726,8.6,156,"12:17:00",156,"2015-05-31","Wangag",10.87132359,124.71421814,10.87146378,124.71398163,NA,0.0301665778996853,NA,NA
"L2253",994,"L2756",1031,929,60,0,0,"Fuzzy match","D2230","E1251","APCL14_390","D2955","E2597","APCL15_406954",0.0606673407482305,2473,3098,9.1,113,"15:16:00",113,"2014-06-23","Wangag",1472,2196,8.8,157,"14:43:00",157,"2015-05-31","Wangag",10.87137794,124.71421051,10.87138367,124.71414948,NA,0.00669411667788039,NA,NA
"L2254",985,"L2790",1038,930,55,0,0,"Fuzzy match","D2231","E1252","APCL14_391","D3056","E2794","APCL15_399551",0.0558375634517767,2472,3097,6.4,113,"15:15:00",113,"2014-06-23","Wangag",1472,1740,8.7,157,"14:43:00",157,"2015-05-31","Wangag",10.87137032,124.71421051,10.87138367,124.71414948,NA,0.00682676552594679,NA,NA
"L0798",1038,"L1746",1012,952,60,0,0,"Fuzzy match","D1305","E1284","APCL14_423","D1811","E1284","APCL14_423",0.0592885375494071,2553,3170,5.5,114,"10:54:00",114,"2014-06-24","Wangag",2553,3170,5.5,114,"10:54:00",114,"2014-06-24","Wangag",10.87169743,124.71398926,10.87169743,124.71398926,"FAIL",9.49352979660034e-05,NA,NA
"L0799",1038,"L1747",1030,970,60,0,0,"Fuzzy match","D1306","E1285","APCL14_424","D1812","E1285","APCL14_424",0.058252427184466,2554,3171,5.2,114,"10:58:00",114,"2014-06-24","Wangag",2554,3171,5.2,114,"10:58:00",114,"2014-06-24","Wangag",10.87169361,124.71395111,10.87169361,124.71395111,"FAIL",0,NA,NA
"L1005",1038,"L1729",1037,990,47,0,0,"Fuzzy match","D1307","E1286","APCL14_425","D1805","E1286","APCL14_425",0.0453230472516876,2555,3172,5.2,114,"11:04:00",114,"2014-06-24","Wangag",2555,3172,5.2,114,"11:04:00",114,"2014-06-24","Wangag",10.87170124,124.71392059,10.87170124,124.71392059,"FAIL",0.000134258785931453,NA,NA
"L2453",1038,"L2776",1038,986,52,0,0,"Fuzzy match","D2232","E1266","APCL14_405","D3001","E2739","APCL15_399614",0.0500963391136802,2487,3112,4.2,113,"16:07:00",113,"2014-06-23","Wangag",1459,2190,9,157,"13:48:00",157,"2015-05-31","Wangag",10.87151909,124.71418762,10.87154007,124.71411896,NA,0.00785213057596992,NA,NA
"L0744",1038,"L1754",970,905,65,0,0,"Fuzzy match","D1102","E1485","APCL14_452","D1820","E1485","APCL14_452",0.0670103092783505,2599,3208,7.7,117,"09:22:00",117,"2014-06-26","Magbangon",2599,3208,7.7,117,"09:22:00",117,"2014-06-26","Magbangon",10.85982227,124.72268677,10.85982227,124.72268677,"FAIL",0.000134258785931453,NA,NA
"L2392",1037,"L2772",1019,956,62,0,0,"Fuzzy match","D1130","E1388","APCL14_549","D2990","E2632","APCL15_403215",0.0609037328094303,2769,3337,8.3,130,"12:41:00",130,"2014-07-02","Magbangon",1473,1741,9.2,157,"14:50:00",157,"2015-05-31","Wangag",10.87438679,124.71078491,10.87141895,124.71418762,NA,0.496962092662844,"FAIL",NA
"L2392",1037,"L3132",1038,972,65,0,0,"Fuzzy match","D1130","E1388","APCL14_549","D3297","E2632","APCL15_403215",0.0626808100289296,2769,3337,8.3,130,"12:41:00",130,"2014-07-02","Magbangon",1473,1741,9.2,157,"14:50:00",157,"2015-05-31","Wangag",10.87438679,124.71078491,10.87141895,124.71418762,NA,0.496962092662844,"FAIL",NA
"L2716",1038,"L3169",1036,997,39,0,0,"Fuzzy match","D2879","E2521","APCL15_372039","D3293","E2521","APCL15_372039",0.0376447876447876,1678,2274,8.5,168,"14:20:00",168,"2015-06-07","San Agustin",1678,2274,8.5,168,"14:20:00",168,"2015-06-07","San Agustin",10.7688818,124.78366089,10.7688818,124.78366089,"FAIL",0,NA,NA
"L2872",1038,"L3123",1038,993,45,0,0,"Fuzzy match","D2716","E2358","APCL15_143","D3310","E2973","APCL16_006",0.0433526011560694,1790,2048,4.6,177,"14:41:00",177,"2015-06-13","Sitio Baybayon",25,17,7.7,212,"11:15:00",212,"2016-05-12","Sitio Baybayon",10.633708,124.77677917,10.63361549,124.77680206,NA,0.0105864563852455,NA,NA
"L2882",1031,"L3058",1010,932,71,0,0,"Fuzzy match","D2806","E2448","APCL15_355180","D3300","E2448","APCL15_355180",0.0707876370887338,1666,1925,9.9,166,"10:25:00",166,"2015-06-07","Hicgop South",1666,1925,9.9,166,"10:25:00",166,"2015-06-07","Hicgop South",10.80922508,124.76528931,10.80922508,124.76528931,"FAIL",0,NA,NA
"L2772",1019,"L3132",1038,948,71,0,0,"Fuzzy match","D2990","E2632","APCL15_403215","D3297","E2632","APCL15_403215",0.0696761530912659,1473,1741,9.2,157,"14:50:00",157,"2015-05-31","Wangag",1473,1741,9.2,157,"14:50:00",157,"2015-05-31","Wangag",10.87141895,124.71418762,10.87141895,124.71418762,"FAIL",0.000134258785931453,NA,NA
"L2834",1026,"L3157",1038,951,75,0,0,"Fuzzy match","D3178","E2899","APCL15_373375","D3339","E3003","APCL16_035",0.0730994152046784,1334,2531,10.3,151,"10:44:00",151,"2015-05-29","Palanas",78,59,10.7,214,"10:35:00",214,"2016-05-13","Palanas",10.87439919,124.71057892,10.87443924,124.71057129,NA,0.0045301150638101,NA,NA
"L2935",1034,"L3133",1037,975,58,0,0,"Fuzzy match","D3142","E2852","APCL15_371404","D3304","E2852","APCL15_371404",0.0561471442400774,1319,2527,10.1,149,"10:47:00",149,"2015-05-28","Visca",1319,2527,10.1,149,"10:47:00",149,"2015-05-28","Visca",10.74367905,124.78675079,10.74367905,124.78675079,"FAIL",0,NA,NA
"L2815",1035,"L3113",1033,951,80,0,0,"Fuzzy match","D3127","E2836","APCL15_371477","D3303","E0792","APCL14_007",0.0775945683802134,1320,2528,11.2,149,"11:10:00",149,"2015-05-28","Visca",1866,3354,10.2,86,"15:49:30",86,"2014-06-07","Visca",10.74341583,124.78691101,10.74289894,124.7870636,NA,0.0598441878072997,NA,NA
"L2608",1038,"L3160",1036,978,58,0,0,"Fuzzy match","D2740","E2382","APCL15_404548","D3326","E2990","APCL16_022",0.055984555984556,1771,2029,9.2,176,"11:20:00",176,"2015-06-13","Sitio Baybayon",51,767,9.8,213,"14:44:00",213,"2016-05-12","Sitio Baybayon",10.63319778,124.77694702,10.63314342,124.77697754,NA,0.00690291257362017,NA,NA
