"seq","pool","ligation_id","total_reads","no_rad_tag","low_quality","retained","percent_retained"
3,12,"L0255",645918,22882,95845,524382,0.81
3,12,"L0256",989633,31015,84631,869313,0.87
3,12,"L0257",671161,19191,78400,570435,0.84
3,12,"L0258",1314761,38271,110639,1159773,0.88
3,12,"L0259",1526224,37867,140843,1340611,0.87
3,12,"L0260",1214826,31020,115257,1062716,0.87
3,12,"L0261",919153,28130,74837,811917,0.88
3,12,"L0262",2096491,56096,185558,1845189,0.88
3,12,"L0263",742841,25082,66677,647685,0.87
3,12,"L0264",1148387,50136,94122,998916,0.86
3,12,"L0265",681775,27802,65212,585713,0.85
3,12,"L0266",907035,47081,77454,778419,0.85
3,12,"L0267",1008071,33461,90156,879684,0.87
3,12,"L0268",1199296,31286,111345,1051272,0.87
3,12,"L0269",9424,7066,568,1782,0.18
3,12,"L0270",770977,31419,66245,669647,0.86
3,12,"L0271",994715,45627,80600,864106,0.86
3,12,"L0272",1416998,46975,121301,1242049,0.87
3,12,"L0273",1400756,33845,126077,1234531,0.88
3,12,"L0274",1208097,31824,118030,1052613,0.87
3,12,"L0275",1772897,44046,160360,1560410,0.88
3,12,"L0276",1118391,39992,106258,966979,0.86
3,12,"L0277",958936,44893,89551,820163,0.85
3,12,"L0278",1187240,30292,115583,1035897,0.87
3,12,"L0279",1831634,472974,126981,1225191,0.66
3,12,"L0280",2081532,73189,171990,1826597,0.87
3,12,"L0281",1409020,68794,116112,1217667,0.86
3,12,"L0282",1882276,48339,177101,1648262,0.87
3,12,"L0283",1263787,48566,112161,1097240,0.86
3,12,"L0284",1391400,63546,123319,1197842,0.86
3,12,"L0285",1817905,76019,186255,1548212,0.85
3,12,"L0286",2073061,51603,183852,1828484,0.88
3,12,"L0287",732236,46826,61109,621001,0.84
3,12,"L0288",1093496,41170,86826,960204,0.87
3,12,"L0289",927039,54902,75394,792640,0.85
3,12,"L0290",1066763,33865,90277,937868,0.87
3,12,"L0291",477523,11520,39830,423903,0.88
3,12,"L0292",846487,37338,69993,735443,0.86
3,12,"L0293",813862,24766,68669,716573,0.88
3,12,"L0294",885181,146366,65804,669330,0.75
3,12,"L0295",754735,33546,64601,653005,0.86
3,12,"L0296",996074,30372,98341,862904,0.86
3,12,"L0297",1182851,69563,107273,1000788,0.84
3,12,"L0298",1094934,30754,97674,961299,0.87
3,12,"L0299",305914,9160,25942,269326,0.88
3,12,"L0300",922816,26233,81042,811297,0.87
3,12,"L0301",1024449,36699,85472,897308,0.87
3,12,"L0302",1667170,40528,137172,1481598,0.88
3,13,"L0303",1450003,35461,124665,1282566,0.88
3,13,"L0304",1561,183,268,1103,0.7
3,13,"L0305",859,129,445,284,0.33
3,13,"L0306",868,207,226,434,0.5
3,13,"L0307",1716531,44387,163839,1499742,0.87
3,13,"L0308",953,261,393,299,0.31
3,13,"L0309",2231,1328,489,411,0.18
3,13,"L0310",199565,6169,16437,175942,0.88
3,13,"L0311",2102748,51292,175220,1865987,0.88
3,13,"L0312",1964946,74020,149167,1732123,0.88
3,13,"L0313",43798,5335,3570,34727,0.79
3,13,"L0314",1033137,46258,75808,906139,0.87
3,13,"L0315",1410050,42563,113306,1247115,0.88
3,13,"L0316",973958,41787,90371,836969,0.85
3,13,"L0317",887497,100338,63131,719961,0.81
3,13,"L0318",946601,49403,70861,821819,0.86
3,13,"L0319",1006992,82078,73698,846485,0.84
3,13,"L0320",832588,39542,65988,723004,0.86
3,13,"L0321",1558113,40526,130410,1379444,0.88
3,13,"L0322",1934555,48521,184532,1691954,0.87
3,13,"L0323",2063361,51926,170875,1830485,0.88
3,13,"L0324",902185,132498,64191,701517,0.77
3,13,"L0325",1027033,58861,81383,881990,0.85
3,13,"L0326",653118,30534,65884,553694,0.84
3,13,"L0327",1649428,559956,93033,991043,0.6
3,13,"L0328",584206,24377,47117,509887,0.87
3,13,"L0329",2049473,87600,165703,1786499,0.87
3,13,"L0330",1615522,39224,132521,1435762,0.88
3,13,"L0331",1541717,251764,103138,1180153,0.76
3,13,"L0332",89002,4013,7439,77122,0.86
3,13,"L0333",1098067,105548,87070,900822,0.82
3,13,"L0334",1251808,61624,104742,1079793,0.86
3,13,"L0335",1607257,75124,128349,1395996,0.86
3,13,"L0336",1796245,53712,143865,1589750,0.88
3,13,"L0337",1544439,61442,120209,1354920,0.87
3,13,"L0338",2051587,51493,171752,1817850,0.88
3,13,"L0339",2093871,162022,152288,1769620,0.84
3,13,"L0340",2573311,132424,199961,2228280,0.86
3,13,"L0341",2119111,209576,153540,1746487,0.82
3,13,"L0342",2318104,136456,190693,1979438,0.85
3,13,"L0343",1515282,118494,114277,1275427,0.84
3,13,"L0344",1355649,40310,123521,1185237,0.87
3,13,"L0345",2280981,106734,187555,1975863,0.86
3,13,"L0346",1618097,43176,147335,1419663,0.87
