"Ligation_ID","Issue","sample_id","lig","date"
"L0288","matches L0606 with a distance error (~600m), lat longs check out, regenotype","APCL13_255",NA,NA
"L0370","matches L0742 with a distance error (~1.8km), lat longs check out, regenotype","APCL13_351",NA,NA
"L0377","Distance error, matches with L0974, regenotype","APCL13_362",NA,NA
"L0413","distance error, matches with L2695, regenotype","APCL13_040",NA,NA
"L0415","distance error, matches with L2935, regenotype","APCL13_042","L3033","2016-09-21"
"L0425","same fish caught next day at different site?  lab error? matches L0427, regenotype","APCL13_090",NA,NA
"L0427","same fish caught next day at different site? lab error? matches L0425, regenotype","APCL13_101",NA,NA
"L0443","Is from Palanas but matches to a sample from Visca (L0945, L2815), never on the same plate, regenotype","APCL13_205","L3000","2016-09-21"
"L0465","there is no field data for this fish","APCL13_018",NA,NA
"L0489","extract plate label error, could be APCL13_535 (consecutive) or could be APCL13_537 if APCL13_534,APCL13_535 were mistype to 544, 545","APCL13_535",NA,NA
"L0490","extract plate label error, could be APCL13_537 (consecutive) or could be APCL13_539 if APCL13_534,APCL13_535 were mistype to 544, 545","APCL13_537",NA,NA
"L0491","extract plate label error, could be APCL13_538 (consecutive) or could be APCL13_540 if APCL13_534,APCL13_535 were mistype to 544, 545","APCL13_538",NA,NA
"L0493","extract plate label error, could be APCL13_549 (consecutive) or could be APCL13_547 (strange tube order in freezer box)","id_error_5",NA,NA
"L0495","extract plate label error, could be APCL13_553 (consecutive) or could be APCL13_549 (strange tube order in freezer box)","id_error_6",NA,NA
"L0595","extract plate label error, could be 304 or 306","id_error_1",NA,NA
"L0596","Unsure which fin clip was placed in this extraction, APCL14_305 or APCL14_306","id_error_3",NA,NA
"L0606","matches L0288 with a distance error (~600m), lat longs check out, regenotype","APCL14_330","L3144","2016-09-21"
"L0610","distance error, matches with L2900, regenotype","APCL14_343","L3141","2016-09-21"
"L0669","extract plate label error, could be APCL13_534 (consecutive) or could be APCL13_536 if APCL13_534,APCL13_535 were mistype to 544, 545","APCL13_534",NA,NA
"L0697","Is from Magbangon but matches to a sample from Palanas (L0922) - never on the same plate, regenotype","APCL13_654","L3021","2016-09-21"
"L0715","This group of samples all genotype as the same individual, lab error somewhere, regenotype","APCL14_155","L3026","2016-09-21"
"L0718","This group of samples all genotype as the same individual, lab error somewhere, regenotype","APCL14_196","L3014","2016-09-21"
"L0738","distance error, matches with L2904, regenotype","APCL14_384","L3154","2016-09-21"
"L0742","matches L0370 with a distance error (~1.8km), lat longs check out, regenotype","APCL14_445","L3163","2016-09-21"
"L0747","distance error, matches with L2529, regenotype","APCL14_546","L3165","2016-09-21"
"L0764","distance error, matches with L2850, regenotype","APCL14_455","L3139","2016-09-21"
"L0781","This group of samples all genotype as the same individual, lab error somewhere, regenotype","APCL14_157","L3115","2016-09-21"
"L0808","Unsure which fin clip was placed in this extraction, APCL14_305 or APCL14_304","id_error_2",NA,NA
"L0822","distance error, matches with L1667, regenotype","APCL14_357","L3121","2016-09-21"
"L0846","distance error, matches with L1238, regenotype","APCL13_447","L2988","2016-09-21"
"L0863","extract plate label error, could be APCL13_536 (consecutive) or could be APCL13_538 if APCL13_534,APCL13_535 were mistype to 544, 545","APCL13_536",NA,NA
"L0864","extract plate label error, could be APCL13_539 (consecutive) or could be APCL13_541 if APCL13_534,APCL13_535 were mistype to 544, 545","APCL13_539",NA,NA
