"seq","pool","ligation_id","total_reads","no_rad_tag","low_quality","retained","percent_retained"
3,12,"L0269",9424,7066,568,1782,0.18
3,13,"L0304",1561,183,268,1103,0.7
3,13,"L0305",859,129,445,284,0.33
3,13,"L0306",868,207,226,434,0.5
3,13,"L0308",953,261,393,299,0.31
3,13,"L0309",2231,1328,489,411,0.18
3,13,"L0313",43798,5335,3570,34727,0.79
3,14,"L0361",48298,9263,3907,34939,0.72
3,14,"L0396",37620,10089,3370,24036,0.63
3,15,"L0399",35999,2741,4849,28231,0.78
3,15,"L0442",4567,887,2533,1143,0.25
3,15,"L0446",5020,2272,1214,1526,0.3
4,23,"L0814",5795,1690,1317,2782,0.48
5,24,"L0848",18586,7318,1385,9806,0.52
5,24,"L0851",16235,4339,4009,7826,0.48
5,24,"L0877",40305,12790,3379,23960,0.59
5,27,"L1010",26403,5337,2635,18338,0.69
8,30,"L1161",33336,1332,4585,27267,0.81
8,30,"L1166",981,459,121,400,0.4
8,31,"L1207",3085,213,2458,412,0.13
8,31,"L1208",436,151,53,231,0.52
8,32,"L1255",7156,343,6519,291,0.04
8,32,"L1256",313,220,40,53,0.16
8,32,"L1259",3924,231,3432,261,0.07
8,33,"L1304",44688,1404,5682,37406,0.83
8,33,"L1307",24804,1547,4812,18349,0.73
9,39,"L1600",9810,455,2881,6439,0.65
9,39,"L1608",649,363,153,132,0.2
9,39,"L1616",590,203,260,126,0.21
9,39,"L1625",5700,560,1467,3659,0.64
9,39,"L1632",336,88,134,114,0.33
9,39,"L1633",12205,1012,3343,7802,0.63
9,39,"L1634",30788,3692,4573,22399,0.72
9,39,"L1635",9143,473,1880,6750,0.73
9,39,"L1636",17017,3970,3068,9922,0.58
9,40,"L1656",846,242,196,406,0.47
9,40,"L1658",23897,906,5534,17373,0.72
9,40,"L1664",1894,150,407,1330,0.7
9,40,"L1666",46980,4878,6300,35626,0.75
9,40,"L1668",585,148,240,196,0.33
9,40,"L1669",12658,1562,3042,8002,0.63
9,40,"L1672",2118,417,400,1297,0.61
9,40,"L1680",1823,178,373,1267,0.69
9,40,"L1685",3722,267,898,2550,0.68
9,41,"L1689",15239,473,5034,9666,0.63
9,41,"L1691",12102,965,3250,7842,0.64
9,41,"L1693",12794,470,3705,8594,0.67
9,41,"L1695",19249,10764,1711,6733,0.34
9,42,"L1759",2650,320,868,1459,0.55
12,53,"L2245",3420,2844,130,443,0.12
12,53,"L2246",2500,2195,85,218,0.09
12,53,"L2247",1398,1028,112,258,0.18
12,54,"L2258",32678,5079,7498,20053,0.61
12,56,"L2351",21748,3728,4912,13072,0.6
13,58,"L2461",32693,3190,2753,26662,0.81
13,58,"L2462",40744,4733,2898,32992,0.8
13,59,"L2513",42620,30187,2854,9548,0.22
13,59,"L2520",10268,944,6645,2657,0.25
13,59,"L2521",37287,7976,487,28695,0.76
13,59,"L2522",29160,3907,416,24716,0.84
16,68,"L2960",3308,1083,681,1532,0.46
17,69,"L2990",8862,3241,157,5439,0.61
17,69,"L3001",3468,1251,95,2114,0.61
17,69,"L3002",5169,2259,86,2812,0.54
17,69,"L3008",3945,2331,79,1531,0.39
17,70,"L3064",4413,3000,80,1330,0.3
17,71,"L3089",3757,148,1678,1923,0.51
17,71,"L3106",10348,8384,73,1881,0.18
17,71,"L3119",1306,98,65,1141,0.87
17,72,"L3146",10022,1229,175,8581,0.86
17,72,"L3152",5112,2113,84,2900,0.57
17,72,"L3170",23191,275,376,22423,0.97
