First.ID,Second.ID,First.Date,Second.Date,First.Size,Second.Size,Greater?,Diff,Notes
L0696,L0712,6/4/13,6/18/14,3.6,8.1,1,4.5,
L0424,L0722,5/24/13,6/7/14,7.9,8.8,1,0.9,
L0670,L0726,6/3/13,6/12/14,9.6,8.8,0,-0.8,
L0678,L0737,6/3/13,6/22/14,9.1,9.3,1,0.2,
L0485,L0893,5/23/13,6/10/14,9.4,9.3,0,-0.1,
L0874,L0921,6/3/13,6/12/14,3,8.5,1,5.5,
L0658,L0923,5/31/13,6/13/14,2.7,7.5,1,4.8,
L0683,L1013,6/3/13,6/22/14,5.3,8.3,1,3,
L1084,L1092,5/25/13,5/25/13,11.1,10.7,0,-0.4,
L1098,L0723,5/26/13,6/12/14,9.6,11.1,1,1.5,
L1218,L1206,6/3/13,6/22/14,8,9.5,1,1.5,
L0884,L1282,6/4/13,6/23/14,5.3,9.1,1,3.8,
L0444,L1626,5/27/13,5/27/13,8.7,8.3,0,-0.4,
L1101,L1701,5/26/13,6/16/14,3.2,8.1,1,4.9,
L0434,L1739,5/26/13,6/12/14,11,9.6,0,-1.4,
L0677,L1741,6/3/13,6/16/14,8.2,8.4,1,0.2,
L2238,L0719,6/1/13,6/7/14,10.4,9.9,0,-0.5,
L1102,L2348,5/26/13,6/16/14,5.2,8.8,1,3.6,
L0400,L2410,5/30/13,6/23/14,2.4,7,1,4.6,
L0291,L2533,5/28/13,6/23/14,4.7,8.4,1,3.7,
